Job No,Date,(No column name),Weekday
780712.00000,2016-10-05,3,1
783812.00000,2016-10-08,6,5
795600.00000,2016-10-26,3,1
796977.00000,2016-10-27,4,5
799553.00000,2016-10-29,6,5
801710.01000,2016-11-03,4,3
802601.00000,2016-11-02,3,2
803697.00000,2016-11-02,3,2
804069.01000,2016-11-05,6,5
804091.01000,2016-11-05,6,5
805630.01000,2016-11-08,2,1
805690.01000,2016-11-08,2,1
812980.00000,2016-11-13,7,1
814889.01000,2016-11-17,4,3
814918.01000,2016-11-17,4,3
815813.00000,2016-11-16,3,1
816629.01000,2016-11-18,5,4
816638.01000,2016-11-18,5,4
817909.01000,2016-11-19,6,5
818858.01000,2016-11-22,2,1
818858.02000,2016-11-22,2,1
823301.01000,2016-11-25,5,4
823955.01000,2016-11-26,6,5
823978.01000,2016-11-26,6,5
775152.00000,2016-09-24,6,5
770931.00000,2016-09-15,4,5
779364.00000,2016-10-02,7,1
770413.00000,2016-09-14,3,1
772931.00000,2016-09-21,3,1
771954.00000,2016-09-17,6,5
779203.00000,2016-10-01,6,5
773673.00000,2016-09-22,4,5
775291.00000,2016-09-25,7,1
776461.00000,2016-09-28,3,1
777395.00000,2016-09-29,4,5
784001.00000,2016-10-09,7,1
789145.00000,2016-10-15,6,5
789363.00000,2016-10-16,7,1
791075.00000,2016-10-19,3,1
781761.00000,2016-10-06,4,5
785330.00000,2016-10-12,3,2
785510.00000,2016-10-12,3,1
792411.00000,2016-10-20,4,5
786743.00000,2016-10-13,4,5
793658.00000,2016-10-22,6,5
799799.00000,2016-10-30,7,1
790879.00000,2016-10-19,3,2
802894.01000,2016-11-04,5,4
793878.00000,2016-10-23,7,1
803302.00000,2016-11-03,4,5
803303.00000,2016-11-03,4,5
800615.01000,2016-11-02,3,2
795402.00000,2016-10-26,3,2
803699.00000,2016-11-02,3,2
796976.00000,2016-10-27,4,5
808297.01000,2016-11-10,4,3
806146.00000,2016-11-05,6,5
806400.00000,2016-11-06,7,1
800606.01000,2016-11-02,3,2
808150.00000,2016-11-09,3,2
800654.01000,2016-11-02,3,2
812201.01000,2016-11-15,2,1
808299.01000,2016-11-10,4,3
808902.01000,2016-11-10,4,3
801944.00000,2016-11-02,3,1
812723.00000,2016-11-12,6,5
810033.01000,2016-11-11,5,4
804350.00000,2016-11-04,5,1
801569.00000,2016-11-02,3,2
802892.01000,2016-11-04,5,4
810935.00000,2016-11-11,5,1
803700.00000,2016-11-02,3,2
