index,Job No,Date,Schd Time Start,Schd Time End,Latitude,Longitude,Customer number,Customer Name,Site Name,Address 1,Address 2,City,State,PostCode,Zone,Phone,Qty Scheduled,Qty Serviced,Serv Type,Container Type,Bin Volume,Status,Truck number,Route number,Generate ID,Initial Entry Date,Weight,Prorated Weight,Booking Reference 1,Booking Reference 2,Alternate Ref No 1,Alternate Ref No 2,Alternate Service Ref 1,Alternate Service Ref 2,Notes,Directions,CheckLists,Waste Type,Tip Site,Price,PO,Weekday,RowNum
3720,780712.00000,2016-10-05,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,05/10/2016-01:02:13-RunGen217,05/10/16 01:02:14,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
1246,783812.00000,2016-10-08,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,08/10/2016-01:01:19-RunGen217,08/10/16 01:01:20,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
2572,795600.00000,2016-10-26,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,25/10/2016-01:05:26-RunGen217,25/10/16 01:05:27,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
1766,796977.00000,2016-10-27,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,26/10/2016-01:04:19-RunGen217,26/10/16 01:04:21,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
4977,799553.00000,2016-10-29,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,28/10/2016-01:05:53-RunGen217,28/10/16 01:05:53,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
4617,801710.01000,2016-11-03,NULL,01:50,151.2086010,-33.8660120,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,6,6,LOOSE,LOOSE,0,C,XVA350,RED,NULL,03/11/16 01:50:56,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,3,1
326,802601.00000,2016-11-02,00:00,00:00,151.0091840,-33.9385500,2289.00000,BSV Tyre Recycling Australia Pty Ltd,BSV Tyre Recycling Australia Pty Ltd,30 Daisy Street,NULL,Revesby,NSW,2212,NULL,NULL,2,2,COL,660L,0,R,CF71JM,RLI,NULL,01/11/16 09:17:14,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not on Mondays Go down back left side of main building,NULL,General Waste,NULL,77.510,NULL,2,1
1655,803697.00000,2016-11-02,NULL,02:18,151.2080950,-33.8671450,1.00000,NULL,NULL,14  Martin Pl,NULL,Sydney,NSW,2000,NULL,NULL,12,12,COL,240L,0,C,XVA350,RED,NULL,02/11/16 02:18:59,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,2,1
2451,804069.01000,2016-11-05,NULL,01:04,151.2055260,-33.8671850,2740.00000,Clarence Tower,NULL,80 Clarence Street,NULL,Sydney,NSW,2000,NULL,0498 200 054,1,1,LOOSE,240L,0,C,XVA350,RED,NULL,05/11/16 01:04:56,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
2452,804091.01000,2016-11-05,NULL,12:23,151.2062040,-33.8722740,2459.00300,Timeless Commercial Cleaning,NULL,131 York Street,NULL,Sydney,NSW,2000,NULL,NULL,6,6,LOOSE,LOOSE,0,C,XVA350,RED,NULL,05/11/16 00:24:04,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper bins out front. Use card for glass doors.,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
